Pais,continente,Ano,Expectativa de vida,Pop Total,PIB,Renda-per-capita
Armenia,,1992,68.663,3378331,1442.9377960000004,0.00042711557748485875
Armenia,,1997,70.377,3059000,1791.34719,0.0005855989506374632
Armenia,,2002,71.403,3013818,2692.304039,0.0008933200475277538
Armenia,,2007,71.965,2971650,4942.543911,0.0016632321811115036
Aruba,,1972,70.941,59461,4939.758007,0.08307559588637932
Aruba,,1977,71.83,59412,7390.359942,0.12439170440315088
Aruba,,1982,74.116,61569,10874.91495,0.1766297154412123
Aruba,,1987,74.494,65415,17674.3389,0.2701878605824352
Aruba,,1992,74.108,67174,25120.54961,0.3739623903593652
Aruba,,1997,73.01100000000002,68341,26483.66862,0.3875224041205133
Aruba,,2002,73.45100000000002,70441,26467.87062,0.37574524240144236
Aruba,,2007,74.23899999999998,72194,27230.67521,0.3771875115660581
Australia,,1950,69.02,8267337,10031.12138,0.001213343713943196
Australia,,1951,68.72,8510600,10160.73672,0.001193891937113717
Australia,,1952,69.12,8691212,10039.59564,0.001155143337891194
Australia,,1953,69.7,8857924,10157.91298,0.001146760006069142
Australia,,1954,69.85,9064017,10544.08738,0.0011632907771466007
Australia,,1955,70.17,9277087,10864.617740000003,0.001171123838765337
Australia,,1956,70.05,9500606,10974.12837,0.0011550977242925347
Australia,,1957,70.33,9712569,10949.64959,0.0011273690400552111
Australia,,1958,70.88,9915267,11240.95886,0.0011337020838672323
Australia,,1959,70.45,10131729,11678.07069,0.0011526236726229057
Australia,,1960,70.89,10361273,11897.96372,0.0011483109961488323
Australia,,1961,71.16,10598814,11711.50002,0.0011049821253585543
Australia,,1962,70.93,10794968,12217.22686,0.0011317520218679666
Australia,,1963,70.99,11001483,12722.21702,0.0011564092786399797
Australia,,1964,70.65,11218304,13329.89726,0.0011882274949938957
Australia,,1965,70.98,11439384,13739.92688,0.001201107234445491
Australia,,1966,70.82,11655083,13860.95806,0.001189262921593952
Australia,,1967,71.1,11872264,14526.12465,0.0012235345044550895
Australia,,1968,70.73,12101660,15088.55836,0.0012468172432542313
Australia,,1969,71.14,12379384,15647.109380000002,0.0012639651035948156
Australia,,1970,70.81,12660160,16273.14214,0.0012853820283471931
Australia,,1971,71.41,12937200,16633.1259,0.0012856820563955105
Australia,,1972,71.93,13177000,16788.62948,0.0012740858677999544
Australia,,1973,72.14,13380400,17429.71805,0.0013026305678455054
Australia,,1974,71.89,13599100,17574.58167,0.0012923341743203594
Australia,,1975,72.84,13771400,17824.57038,0.0012943179618629915
Australia,,1976,72.88,13915500,18351.06793,0.0013187501656426288
Australia,,1977,73.49,14074100,18334.19751,0.0013026905812805083
Australia,,1978,73.88,14248600,18635.0381,0.0013078504625015793
Australia,,1979,74.44,14421900,19380.63562,0.0013438337264854146
Australia,,1980,74.6,14615900,19505.55452,0.0013345435122024646
Australia,,1981,74.97,14923260,19841.87946,0.0013295941677622719
Australia,,1982,74.74,15184200,19477.00928,0.001282715538520304
Australia,,1983,75.55,15393500,19214.56115,0.001248225624451879
Australia,,1984,76.02,15579400,20295.25294,0.0013026979819505244
Australia,,1985,75.46,15788300,21040.4946,0.0013326637193364708
Australia,,1986,76.13,16018350,21168.81051,0.0013215350213973348
Australia,,1987,76.32,16257249,21888.88903,0.0013464079334701707
Australia,,1988,76.36,16520206,22508.19078,0.0013624642925154809
Australia,,1989,76.46,16780235,23133.97635,0.0013786443604633667
Australia,,1990,77.06,17022133,23151.89034,0.0013601051254857428
Australia,,1991,77.55,17257526,22893.85675,0.001326601318752178
Australia,,1992,77.56,17481977,23424.76683,0.001339938087665943
Australia,,1993,78.1,17688687,24053.10102,0.0013598013815270741
Australia,,1994,78.1,17892557,24780.17241,0.0013849430469887562
Australia,,1995,78.49,18116171,25518.71544,0.0014086152885176453
Australia,,1996,78.56,18348078,26151.13247,0.0014252791202435482
Australia,,1997,78.83,18565243,26997.93657,0.0014542194018144553
Australia,,1998,79.33,18768789,28169.153410000006,0.0015008508758876241
Australia,,1999,79.58,18968247,28983.2672,0.0015279887066000353
Australia,,2000,79.99,19164620,29241.5145,0.0015258071644519955
Australia,,2001,80.35,19357594,30043.24277,0.0015520132703475444
Australia,,2002,80.37,19546792,30687.75473,0.0015699637428996023
Australia,,2003,80.78,19731984,31634.24243,0.0016031962335870532
Australia,,2004,81.15,19913144,32098.50615,0.0016119255778997029
Australia,,2007,81.235,20434176,34435.367439999995,0.0016851850272797883
Austria,Europe,1950,64.88,6935100,5733.098114,0.0008266785070150395
Austria,Europe,1951,65.26,6935451,6124.928282,0.0008831333797902977
Austria,Europe,1952,66.8,6927772,6137.076492,0.0008858658298800826
Austria,Europe,1953,67.29,6932483,6399.786948,0.0009231594145993578
Austria,Europe,1954,67.32,6940209,7045.971274,0.0010152390618207608
Austria,Europe,1955,67.6,6946885,7817.250888,0.0011252886564265853
Austria,Europe,1956,67.72,6952359,8348.449465,0.0012008081666956495
Austria,Europe,1957,67.48,6965860,8842.59803,0.0012694194299052808
Austria,Europe,1958,68.49,6987358,9137.296178,0.0013076897130503405
Austria,Europe,1959,68.42,7014331,9360.853847,0.0013345326656241344
Austria,Europe,1960,68.78,7047437,10083.83005,0.0014308506837308374
Austria,Europe,1961,69.75,7086299,10560.9654,0.0014903358438586912
Austria,Europe,1962,69.54,7129864,10750.72111,0.0015078437835560397
Austria,Europe,1963,69.67,7175811,11116.70439,0.0015491913583008249
Austria,Europe,1964,70.16,7223801,11705.63362,0.0016204258146092342
Austria,Europe,1965,69.95,7270889,11964.2821,0.0016455047106344219
Austria,Europe,1966,70.26,7322066,12549.33397,0.0017139061529901534
Austria,Europe,1967,70.14,7376998,12834.6024,0.001739813729107694
Austria,Europe,1968,70.29,7415403,13335.55703,0.001798359041309016
Austria,Europe,1969,70.06,7441055,14125.31596,0.0018982947928754725
Austria,Europe,1970,70.11,7467086,15078.76996,0.002019364710678302
Austria,Europe,1971,70.31,7500482,15779.07374,0.0021037412982259007
Austria,Europe,1972,70.63,7544201,16661.6256,0.002208534157560224
Austria,Europe,1973,71.21,7586115,17379.3273,0.0022909390775120073
Austria,Europe,1974,71.2,7599038,18033.975,0.0023731918434938735
Austria,Europe,1975,71.33,7578903,18016.36617,0.0023771733415772706
Austria,Europe,1976,71.82,7565525,18874.29543,0.0024947766916373943
Austria,Europe,1977,72.17,7568430,19749.4223,0.0026094477057989566
Austria,Europe,1978,72.25,7562305,19693.61751,0.0026041818612182396
Austria,Europe,1979,72.56,7549425,20803.39934,0.0027556269967580313
Austria,Europe,1980,72.7,7549433,21284.70833,0.002819378399675843
Austria,Europe,1981,73.02,7564629,21220.8879,0.0028052780777484266
Austria,Europe,1982,73.18,7574613,21597.08362,0.0028512458154627838
Austria,Europe,1983,73.25,7552896,22266.66334,0.0029480961130670938
Austria,Europe,1984,73.79,7554132,22336.9462,0.0029569176445420862
Austria,Europe,1985,74.01,7559776,22821.20054,0.003018766765047007
Austria,Europe,1986,74.49,7568242,23329.15536,0.0030825065266147675
Austria,Europe,1987,74.94,7578903,23687.82607,0.0031254953480734614
Austria,Europe,1988,75.41,7599791,24371.17769,0.0032068220941865377
Austria,Europe,1989,75.5,7627861,25307.87479,0.0033178206564068225
Austria,Europe,1990,75.77,7722953,26134.99521,0.0033840676241328935
Austria,Europe,1991,75.83,7818423,26744.39669,0.0034206894011746362
Austria,Europe,1992,76.04,7914969,27042.01868,0.0034165665942595606
Austria,Europe,1993,76.27,7988599,26882.044060000004,0.0033650511259859213
Austria,Europe,1994,76.6,8027540,27463.47863,0.0034211574940766413
Austria,Europe,1995,76.84,8047433,27918.81948,0.003469282624658074
Austria,Europe,1996,77.1,8060852,28602.35254,0.0035483038939308153
Austria,Europe,1997,77.51,8069876,29095.920660000003,0.003605497861429346
Austria,Europe,1998,77.88,8078622,30107.97838,0.0037268705454964967
Austria,Europe,1999,78.06,8094156,31039.61877,0.003834818450496877
Austria,Europe,2000,78.35,8113413,32008.50466,0.003945134391654905
Austria,Europe,2001,78.85,8131690,32196.42488,0.003959376818348953
Austria,Europe,2002,78.98,8148312,32417.60769,0.003978444577232684
Austria,Europe,2003,78.98,8162656,32741.18737,0.004011094840943928
Austria,Europe,2004,79.49,8174762,33455.69403,0.004092558783974383
Austria,Europe,2005,79.66,8184691,34108.0,0.004167292326613186
Austria,Europe,2007,79.829,8199783,36126.4927,0.004405786433616598
Azerbaijan,Asia,1992,65.623,7413618,3455.542969,0.0004661075023018451
Azerbaijan,Asia,1997,66.328,7695123,1943.285094,0.0002525346370681794
Azerbaijan,Asia,2002,66.844,7798497,3059.179927,0.00039227814372436127
Azerbaijan,Asia,2007,67.487,8017309,7708.61119,0.000961496081790037
Bahamas,,1962,64.209,122902,15117.51505,0.1230046301117964
Bahamas,,1967,65.795,151120,19318.1061,0.12783288843303336
Bahamas,,1972,66.515,178332,18152.43763,0.1017901309355584
Bahamas,,1977,67.199,197499,14380.66603,0.0728138675638864
Bahamas,,1982,67.874,219682,20433.0368,0.09301188445116124
Bahamas,,1987,69.524,244042,22438.01353,0.0919432455478975
Bahamas,,1992,69.171,264085,19432.56931,0.07358452509608648
Bahamas,,1997,68.472,281577,20990.83247,0.07454739723059767
Bahamas,,2002,71.068,295131,22810.96126,0.07729096997604454
Bahamas,,2007,73.495,305655,23948.63751,0.07835185915492958
Bahrain,Asia,1952,50.93899999999999,120447,9867.084765,0.08192055231761687
Bahrain,Asia,1957,53.832,138655,11635.79945,0.08391907576358588
Bahrain,Asia,1962,56.923,171863,12753.27514,0.07420605447362143
Bahrain,Asia,1967,59.923,202182,14804.6727,0.07322448437546368
Bahrain,Asia,1972,63.3,230800,18268.65839,0.07915363253899481
Bahrain,Asia,1977,65.593,297410,19340.10196,0.06502841854678726
Bahrain,Asia,1982,69.05199999999999,377967,19211.14731,0.05082757836001556
Bahrain,Asia,1987,70.75,454612,18524.02406,0.04074688758765717
Bahrain,Asia,1992,72.601,529491,19035.57917,0.03595071336434425
Bahrain,Asia,1997,73.925,598561,20292.01679,0.0339013346843513
Bahrain,Asia,2002,74.795,656397,23403.55927,0.03565457988077338
Bahrain,Asia,2007,75.635,708573,29796.04834,0.04205078141560573
Bangladesh,Asia,1952,37.484,46886859,684.2441716,1.4593516951092841e-05
Bangladesh,Asia,1957,39.348,51365468,661.6374577,1.2880977891606089e-05
Bangladesh,Asia,1962,41.216,56839289,686.3415537999998,1.2075125601940583e-05
Bangladesh,Asia,1967,43.453,62821884,721.1860862000002,1.1479854475551867e-05
Bangladesh,Asia,1972,45.252,70759295,630.2336265,8.906725632300323e-06
Bangladesh,Asia,1977,46.923,80428306,659.8772322000002,8.204539732566296e-06
Bangladesh,Asia,1982,50.00899999999999,93074406,676.9818656,7.2735555851949246e-06
Bangladesh,Asia,1987,52.819,103764241,751.9794035,7.246999508240994e-06
Bangladesh,Asia,1992,56.018,113704579,837.8101642999999,7.368306286943817e-06
Bangladesh,Asia,1997,59.412,123315288,972.7700352,7.888478800779348e-06
Bangladesh,Asia,2002,62.01300000000001,135656790,1136.3904300000004,8.376952086216992e-06
Bangladesh,Asia,2007,64.062,150448339,1391.253792,9.247385522813914e-06
Barbados,,1962,65.87,228747,6204.489468,0.027123806948287844
Barbados,,1967,67.62,238224,7788.544084999998,0.032694204131405724
Barbados,,1972,69.42,242445,9853.806374,0.040643471195528885
Barbados,,1977,71.27,249169,11817.35591,0.04742707122475107
Barbados,,1982,72.695,253522,12736.47247,0.050238135033646
Barbados,,1987,74.027,259428,13783.20898,0.05312922652913332
Barbados,,1992,74.89399999999998,264925,12263.45331,0.04629028332546947
Barbados,,1997,74.91199999999998,270096,13901.90893,0.05147025105888277
Barbados,,2002,75.97,275673,14544.49305,0.0527599476553743
Barbados,,2007,77.296,280946,17023.10239,0.06059207958112947
Belarus,FSU,1973,72.71,9236465,4958.608124,0.0005368512871536893
Belarus,FSU,1990,71.15,10215208,6807.781056999998,0.0006664358725735197
Belarus,FSU,1991,70.58,10244639,6693.1884,0.000653335700750412
Belarus,FSU,1992,70.17,10306362,6014.406075,0.000583562470928151
Belarus,FSU,1993,69.05,10360516,5528.263371,0.0005335895790325501
Belarus,FSU,1994,68.82,10387841,4868.615987,0.0004686841074098073
Belarus,FSU,1995,68.43,10403989,4355.509243,0.0004186383936968792
Belarus,FSU,1996,68.56,10408773,4475.405604,0.0004299647618408048
Belarus,FSU,1997,68.37,10404210,4987.788391,0.0004794009723948286
Belarus,FSU,1998,68.38,10394407,5411.861751,0.0005206513224852559
Belarus,FSU,1999,67.97,10382370,5602.352725,0.0005396024920129026
Belarus,FSU,2000,69.0,10366719,5936.237819,0.0005726245516059613
Belarus,FSU,2001,68.6,10350194,6225.164179,0.0006014538644396424
Belarus,FSU,2002,68.16,10335382,6545.789965,0.0006333379806377742
Belarus,FSU,2003,68.7,10322151,6999.864668000001,0.0006781401151756064
Belarus,FSU,2004,69.1,10310520,7806.724445999998,0.0007571610787816714
Belarus,FSU,2005,68.87,10300483,8541.0,0.0008291844178569102
Belarus,FSU,2007,69.027,10289007,10273.77418,0.0009985195053322444
Belgium,Europe,1950,66.35,8639369,7990.465840000002,0.0009248899821271672
Belgium,Europe,1951,66.8,8678386,8393.415992,0.000967163248097054
Belgium,Europe,1952,68.0,8730405,8343.105126999999,0.0009556378114188287
Belgium,Europe,1953,68.37,8777873,8645.372292,0.000984905146383412
Belgium,Europe,1954,68.63,8819380,8950.306725,0.0010148453434368403
Belgium,Europe,1955,68.58,8868475,9244.72546,0.0010424256098145396
Belgium,Europe,1956,68.87,8923845,9529.403593,0.0010678584839830811
Belgium,Europe,1957,69.24,8989111,9714.960623,0.001080747653800248
Belgium,Europe,1958,69.93,9052707,9477.273558,0.0010468994034602028
Belgium,Europe,1959,70.33,9103729,9675.467689,0.0010628026920616815
Belgium,Europe,1960,69.65,9118700,10076.60249,0.0011050481417307291
Belgium,Europe,1961,70.52,9165800,10512.5111,0.0011469278295402473
Belgium,Europe,1962,70.25,9218400,10991.20676,0.0011923117634296623
Belgium,Europe,1963,70.06,9283100,11396.12839,0.0012276209876011246
Belgium,Europe,1964,70.73,9367000,12089.40942,0.0012906383495249279
Belgium,Europe,1965,70.58,9448100,12406.28806,0.0013130987246112976
Belgium,Europe,1966,70.65,9507800,12720.17707,0.0013378675476976797
Belgium,Europe,1967,70.94,9556500,13149.04119,0.0013759264573850259
Belgium,Europe,1968,70.63,9589800,13647.19609,0.0014230949644413857
Belgium,Europe,1969,70.71,9612700,14520.74226,0.0015105789486824723
Belgium,Europe,1970,70.97,9637800,15379.70523,0.0015957692865591732
Belgium,Europe,1971,71.1,9672500,15899.65951,0.0016438004145774101
Belgium,Europe,1972,71.44,9709100,16672.14356,0.001717166736360734
Belgium,Europe,1973,71.65,9738400,17639.58142,0.0018113428715189352
Belgium,Europe,1974,72.01,9767800,18325.1694,0.0018760795061323941
Belgium,Europe,1975,72.0,9794800,18032.1155,0.0018409886368277045
Belgium,Europe,1976,72.15,9811000,19019.94462,0.001938634657017633
Belgium,Europe,1977,72.8,9821800,19117.97448,0.0019464837891221569
Belgium,Europe,1978,72.75,9829700,19645.53784,0.0019985897677446923
Belgium,Europe,1979,73.24,9837200,20090.120430000006,0.00204226003639247
Belgium,Europe,1980,73.29,9846800,20969.62311,0.0021295875929235896
Belgium,Europe,1981,73.7,9852400,20696.13378,0.0021006185071657667
Belgium,Europe,1982,73.93,9856303,20979.84589,0.0021285715232171737
Belgium,Europe,1983,73.93,9855520,20979.01253,0.0021286560759858435
Belgium,Europe,1984,74.43,9855300,21498.93801,0.0021814595202581354
Belgium,Europe,1985,74.54,9858200,21708.74541,0.002202100323588485
Belgium,Europe,1986,74.74,9861800,22024.75308,0.002233340067736113
Belgium,Europe,1987,75.35,9870200,22525.56308,0.002282178991307167
Belgium,Europe,1988,75.66,9884000,23555.8201,0.002383227448401457
Belgium,Europe,1989,75.73,9937697,24269.23182,0.0024421384371046935
Belgium,Europe,1990,76.14,9969310,24925.91,0.002500264311170984
Belgium,Europe,1991,76.3,10004487,25293.57135,0.0025282227214648784
Belgium,Europe,1992,76.46,10045622,25575.57069,0.0025459419725329105
Belgium,Europe,1993,76.48,10085426,25229.59834,0.0025015897533728374
Belgium,Europe,1994,76.82,10122914,25947.30294,0.002563224674239058
Belgium,Europe,1995,76.97,10155459,26480.94732,0.00260755789767848
Belgium,Europe,1996,77.31,10178934,26725.49837,0.002625569472206029
Belgium,Europe,1997,77.53,10199787,27561.19663,0.0027021345279072983
Belgium,Europe,1998,77.62,10217030,28030.61314,0.0027435187270664764
Belgium,Europe,1999,77.8,10235655,28937.1514,0.00282709327346418
Belgium,Europe,2000,77.91,10263618,29940.2047,0.0029171199376282317
Belgium,Europe,2001,78.22,10291679,30092.07613,0.0029239229216146364
Belgium,Europe,2002,78.32,10311970,30485.88375,0.002956358848018371
Belgium,Europe,2003,78.47,10330824,30736.5256,0.0029752249772138214
Belgium,Europe,2004,79.11,10348276,31600.01699,0.003053650384856376
Belgium,Europe,2005,79.2,10364388,32077.0,0.003094924659323831
Belgium,Europe,2007,79.441,10392226,33692.60508,0.0032420970329167208
Belize,,1950,57.673,65797,1731.132728,0.026310207577853094
Belize,,1962,62.678,97594,1916.319613,0.01963562937270734
Belize,,1967,65.184,113265,2099.158522,0.01853316136494063
Belize,,1972,67.589,127661,2616.696579,0.020497227649791245
Belize,,1977,69.747,140578,3158.688003,0.022469291091066882
Belize,,1982,71.031,153277,3732.094919,0.024348694970543528
Belize,,1987,71.87899999999998,176347,3844.931896,0.021803216930256823
Belize,,1992,72.52199999999998,200798,5780.689093999999,0.028788579039631865
Belize,,1997,74.405,228884,5631.50107,0.024604170977438354
Belize,,2002,75.586,261138,6799.541995000001,0.026038117757660705
Belize,,2007,76.12100000000002,294385,7550.225543,0.025647453311140173
Benin,Africa,1952,38.223,1738315,1062.7522,0.0006113691707199212
Benin,Africa,1957,40.358,1925173,959.6010805,0.0004984492720913913
Benin,Africa,1962,42.618,2151895,949.4990641,0.0004412385660545705
Benin,Africa,1967,44.885,2427334,1035.831411,0.0004267362509650505
Benin,Africa,1972,47.014,2761407,1085.796879,0.00039320421763253295
Benin,Africa,1977,49.19,3168267,1029.161251,0.00032483412887865826
Benin,Africa,1982,50.904,3641603,1277.897616,0.00035091623551496414
Benin,Africa,1987,52.337,4243788,1225.85601,0.00028885891802323774
Benin,Africa,1992,53.919,4981671,1191.207681,0.00023911809531380136
Benin,Africa,1997,54.777,6066080,1232.975292,0.0002032573411494738
Benin,Africa,2002,54.40600000000001,7026113,1372.877931,0.00019539650600552537
Benin,Africa,2007,56.728,8078314,1441.284873,0.0001784140691981025
Bhutan,Asia,1972,41.837,1087991,807.6225857999998,0.0007423063111735297
Bhutan,Asia,1977,44.708,1205659,816.3101525000002,0.0006770655322110151
Bhutan,Asia,1982,47.872,1333704,946.8129965,0.000709912391730099
Bhutan,Asia,1987,50.717,1490857,1494.290085,0.0010023027594195822
Bhutan,Asia,1992,54.471,1673428,1904.17945,0.0011378914718768898
Bhutan,Asia,1997,58.929,1876236,2561.507659,0.0013652374536039175
Bhutan,Asia,2002,63.458,2094176,3256.019293,0.0015547973489334229
Bhutan,Asia,2007,65.625,2327849,4744.640019,0.002038207812877897
Bolivia,Americas,1952,40.414,2883315,2677.326347,0.0009285583944175368
Bolivia,Americas,1957,41.89,3211738,2127.686326,0.0006624719469645407
Bolivia,Americas,1962,43.428,3593918,2180.972546,0.0006068509481852396
Bolivia,Americas,1967,45.032,4040665,2586.886053,0.0006402129483636976
Bolivia,Americas,1972,46.714,4565872,2980.331339,0.0006527408869543429
Bolivia,Americas,1977,50.023,5079716,3548.097832,0.0006984835041959038
Bolivia,Americas,1982,53.859,5642224,3156.510452,0.0005594443701632547
Bolivia,Americas,1987,57.25100000000001,6156369,2753.69149,0.0004472914943857329
Bolivia,Americas,1992,59.957,6893451,2961.699694,0.00042963962375303745
Bolivia,Americas,1997,62.05,7693188,3326.143191,0.0004323491367947852
Bolivia,Americas,2002,63.883,8445134,3413.26269,0.00040416915705541204
Bolivia,Americas,2007,65.554,9119152,3822.137084,0.0004191329505199606
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.5331948,0.0003488116068792548
Bosnia and Herzegovina,Europe,1957,58.45,3076000,1353.989176,0.0004401785357607282
Bosnia and Herzegovina,Europe,1962,61.93,3349000,1709.683679,0.0005105057267841146
Bosnia and Herzegovina,Europe,1967,64.79,3585000,2172.3524230000007,0.0006059560454672248
Bosnia and Herzegovina,Europe,1972,67.45,3819000,2860.16975,0.000748931592039801
Bosnia and Herzegovina,Europe,1977,69.86,4086000,3528.481305,0.0008635539170337738
Bosnia and Herzegovina,Europe,1982,70.69,4172693,4126.613157,0.0009889568096670422
Bosnia and Herzegovina,Europe,1987,71.14,4338977,4314.114757,0.0009942700219429603
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445,0.0005983960681041153
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904,0.0013214183265871915
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239,0.0014449877848935137
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803,0.0016357589900527173
Botswana,Africa,1952,47.622,442308,851.2411407,0.001924543848856453
Botswana,Africa,1957,49.618,474639,918.2325349,0.0019345914155811047
Botswana,Africa,1962,51.52,512764,983.6539764,0.0019183366546793458
Botswana,Africa,1967,53.298,553541,1214.709294,0.002194434186446894
Botswana,Africa,1972,56.024,619351,2263.6111140000007,0.0036548114300291768
Botswana,Africa,1977,59.319,781472,3214.857818,0.004113849015703697
Botswana,Africa,1982,61.484,970347,4551.14215,0.0046902212816652186
Botswana,Africa,1987,63.622,1151184,6205.88385,0.005390870486386191
Botswana,Africa,1992,62.745,1342614,7954.111645,0.00592434731426903
Botswana,Africa,1997,52.556,1536536,8647.142313,0.005627686115392025
Botswana,Africa,2002,46.63399999999999,1630347,11003.60508,0.006749241161544137
Botswana,Africa,2007,50.728,1639131,12569.85177,0.007668607188809191
Brazil,Americas,1952,50.917,56602560,2108.944355,3.725881576734339e-05
Brazil,Americas,1957,53.285,65551171,2487.365989,3.7945408923358516e-05
Brazil,Americas,1962,55.665,76039390,3336.585802,4.387970237530838e-05
Brazil,Americas,1967,57.632,88049823,3429.864357,3.8953676908583905e-05
Brazil,Americas,1972,59.504,100840058,4985.711467,4.9441775083072644e-05
Brazil,Americas,1977,61.489,114313951,6660.118654,5.826164344542688e-05
Brazil,Americas,1982,63.33600000000001,128962939,7030.835878,5.451826650755842e-05
Brazil,Americas,1987,65.205,142938076,7807.095818000002,5.4618727469089496e-05
Brazil,Americas,1992,67.057,155975974,6950.283020999998,4.455995909344344e-05
Brazil,Americas,1997,69.388,168546719,7957.980823999998,4.721528174037015e-05
Brazil,Americas,2002,71.006,179914212,8131.212843000001,4.519494459392681e-05
Brazil,Americas,2007,72.39,190010647,9065.800825,4.771206755061468e-05
Brunei,Asia,1972,68.34,141500,54117.15906000001,0.382453420918728
Brunei,Asia,1977,69.66,167216,72555.22854,0.43390123277676773
Brunei,Asia,1982,71.62,199468,62407.21057,0.31286828248140053
Brunei,Asia,1987,73.2,235357,53585.90355,0.22767924280985907
Brunei,Asia,1992,74.471,273701,49174.40543,0.17966469041033828
Brunei,Asia,1997,75.465,313563,48967.3126,0.15616419220379954
